{'pitch': 0.12436779917398594, 'roll': 0.24873542381504668, 'v_z': -0.4, 'yaw': 0.0}
{'pitch': 1.7453292519564734e-07, 'roll': 0.24873542381504668, 'v_z': -0.4, 'yaw': 0.0}
{'pitch': -0.12436745010813555, 'roll': 0.24873542381504668, 'v_z': -0.4, 'yaw': 0.0}
{'pitch': -0.2487350747491963, 'roll': 0.24873542381504668, 'v_z': -0.4, 'yaw': 0.0}
{'pitch': -0.37310269939025703, 'roll': 0.3731030484561074, 'v_z': -0.4, 'yaw': 0.0}
{'pitch': -0.3731030484561074, 'roll': 0.3731030484561074, 'v_z': -0.4, 'yaw': 0.0}
{'pitch': -0.3731030484561074, 'roll': 0.3731030484561074, 'v_z': -0.4, 'yaw': 0.0}
{'pitch': -0.3731030484561074, 'roll': 0.3731030484561074, 'v_z': -0.4, 'yaw': 0.0}
{'pitch': -0.12436762464106074, 'roll': 0.12436762464106074, 'v_z': -0.4, 'yaw': 0.0}
{'pitch': -0.24873524928212148, 'roll': 0.24873524928212148, 'v_z': -0.4, 'yaw': 0.0}
{'pitch': -0.3731028739231822, 'roll': 0.3731028739231822, 'v_z': -0.4, 'yaw': 0.0}
{'pitch': -0.3731030484561074, 'roll': 0.3731030484561074, 'v_z': -0.4, 'yaw': 0.0}
{'pitch': -0.3731030484561074, 'roll': 0.3731030484561074, 'v_z': -0.4, 'yaw': 0.0}
{'pitch': -0.24873542381504668, 'roll': 0.3731030484561074, 'v_z': -0.4, 'yaw': 0.0}
{'pitch': -0.12436779917398594, 'roll': 0.3731030484561074, 'v_z': -0.4, 'yaw': 0.0}
{'pitch': -0.12436779917398594, 'roll': 0.24873542381504668, 'v_z': -0.4, 'yaw': 0.0}
{'pitch': -1.7453292519564734e-07, 'roll': 0.12436779917398594, 'v_z': -0.4, 'yaw': 0.0}
{'pitch': 0.12436745010813555, 'roll': 1.7453292519564734e-07, 'v_z': -0.4, 'yaw': 0.0}
{'pitch': 0.2487350747491963, 'roll': 0.12436779917398594, 'v_z': -0.4, 'yaw': 0.0}
{'pitch': 0.12436745010813555, 'roll': 0.24873542381504668, 'v_z': -0.4, 'yaw': 0.0}
{'pitch': 0.2487350747491963, 'roll': 0.3731030484561074, 'v_z': -0.4, 'yaw': 0.0}
{'pitch': 0.37310269939025703, 'roll': 0.3731030484561074, 'v_z': -0.4, 'yaw': 0.0}
{'pitch': 0.3731030484561074, 'roll': 0.3731030484561074, 'v_z': -0.4, 'yaw': 0.0}
{'pitch': 0.3731030484561074, 'roll': 0.3731030484561074, 'v_z': -0.4, 'yaw': 0.0}
{'pitch': 0.3731030484561074, 'roll': 0.3731030484561074, 'v_z': -0.4, 'yaw': 0.0}
{'pitch': 0.3731030484561074, 'roll': 0.24873542381504668, 'v_z': -0.4, 'yaw': 0.0}
{'pitch': 0.24873542381504668, 'roll': 0.12436779917398594, 'v_z': -0.4, 'yaw': 0.0}
{'pitch': 0.12436779917398594, 'roll': 1.7453292519564734e-07, 'v_z': -0.4, 'yaw': 0.0}
{'pitch': 1.7453292519564734e-07, 'roll': 0.12436779917398594, 'v_z': -0.4, 'yaw': 0.0}
{'pitch': -0.12436745010813555, 'roll': 0.24873542381504668, 'v_z': -0.4, 'yaw': 0.0}
{'pitch': 1.7453292519564734e-07, 'roll': 0.3731030484561074, 'v_z': -0.4, 'yaw': 0.0}
{'pitch': 1.7453292519564734e-07, 'roll': 0.3731030484561074, 'v_z': -0.4, 'yaw': 0.0}
{'pitch': -0.12436745010813555, 'roll': 0.3731030484561074, 'v_z': -0.4, 'yaw': 0.0}
{'pitch': -0.12436745010813555, 'roll': 0.3731030484561074, 'v_z': -0.4, 'yaw': 0.0}
{'pitch': -0.2487350747491963, 'roll': 0.3731030484561074, 'v_z': -0.4, 'yaw': 0.0}
{'pitch': -0.37310269939025703, 'roll': 0.3731030484561074, 'v_z': -0.4, 'yaw': 0.0}
{'pitch': -0.3731030484561074, 'roll': 0.24873542381504668, 'v_z': -0.4, 'yaw': 0.0}
{'pitch': -0.3731030484561074, 'roll': 0.12436779917398594, 'v_z': -0.4, 'yaw': 0.0}
{'pitch': -0.3731030484561074, 'roll': 0.12436779917398594, 'v_z': -0.4, 'yaw': 0.0}
{'pitch': -0.3731030484561074, 'roll': 0.12436779917398594, 'v_z': -0.4, 'yaw': 0.0}
{'pitch': -0.12436762464106074, 'roll': -0.12436762464106074, 'v_z': -0.4, 'yaw': 0.0}
{'pitch': -0.24873524928212148, 'roll': -0.24873524928212148, 'v_z': -0.4, 'yaw': 0.0}
{'pitch': -0.3731028739231822, 'roll': -0.3731028739231822, 'v_z': -0.4, 'yaw': 0.0}
{'pitch': -0.3731030484561074, 'roll': -0.3731030484561074, 'v_z': -0.4, 'yaw': 0.0}
{'pitch': -0.3731030484561074, 'roll': -0.3731030484561074, 'v_z': -0.4, 'yaw': 0.0}
{'pitch': -0.3731030484561074, 'roll': -0.24873542381504668, 'v_z': -0.4, 'yaw': 0.0}
{'pitch': -0.3731030484561074, 'roll': -0.12436779917398594, 'v_z': -0.4, 'yaw': 0.0}
{'pitch': -0.24873542381504668, 'roll': -0.12436779917398594, 'v_z': -0.4, 'yaw': 0.0}
{'pitch': -0.12436779917398594, 'roll': -1.7453292519564734e-07, 'v_z': -0.4, 'yaw': 0.0}
{'pitch': -1.7453292519564734e-07, 'roll': -1.7453292519564734e-07, 'v_z': -0.4, 'yaw': 0.0}
{'pitch': 0.12436745010813555, 'roll': -0.12436779917398594, 'v_z': -0.4, 'yaw': 0.0}
{'pitch': 0.12436745010813555, 'roll': -0.24873542381504668, 'v_z': -0.4, 'yaw': 0.0}
{'pitch': -1.7453292519564734e-07, 'roll': -0.24873542381504668, 'v_z': -0.4, 'yaw': 0.0}
{'pitch': -0.12436779917398594, 'roll': -0.24873542381504668, 'v_z': -0.4, 'yaw': 0.0}
{'pitch': -0.24873542381504668, 'roll': -0.3731030484561074, 'v_z': -0.4, 'yaw': 0.0}
{'pitch': -0.3731030484561074, 'roll': -0.3731030484561074, 'v_z': -0.4, 'yaw': 0.0}
{'pitch': -0.3731030484561074, 'roll': -0.3731030484561074, 'v_z': -0.4, 'yaw': 0.0}
{'pitch': -0.3731030484561074, 'roll': -0.3731030484561074, 'v_z': -0.4, 'yaw': 0.0}
{'pitch': -0.3731030484561074, 'roll': -0.24873542381504668, 'v_z': -0.4, 'yaw': 0.0}
{'pitch': -0.3731030484561074, 'roll': -0.12436779917398594, 'v_z': -0.4, 'yaw': 0.0}
{'pitch': -0.24873542381504668, 'roll': -0.12436779917398594, 'v_z': -0.4, 'yaw': 0.0}
{'pitch': -0.12436779917398594, 'roll': -1.7453292519564734e-07, 'v_z': -0.4, 'yaw': 0.0}
{'pitch': -1.7453292519564734e-07, 'roll': -1.7453292519564734e-07, 'v_z': -0.4, 'yaw': 0.0}
{'pitch': 0.12436745010813555, 'roll': -0.12436779917398594, 'v_z': -0.4, 'yaw': 0.0}
{'pitch': 0.12436745010813555, 'roll': -0.24873542381504668, 'v_z': -0.4, 'yaw': 0.0}
{'pitch': 0.2487350747491963, 'roll': -0.3731030484561074, 'v_z': -0.4, 'yaw': 0.0}
{'pitch': 0.37310269939025703, 'roll': -0.3731030484561074, 'v_z': -0.4, 'yaw': 0.0}
{'pitch': 0.3731030484561074, 'roll': -0.3731030484561074, 'v_z': -0.4, 'yaw': 0.0}
{'pitch': 0.3731030484561074, 'roll': -0.3731030484561074, 'v_z': -0.4, 'yaw': 0.0}
{'pitch': 0.3731030484561074, 'roll': -0.3731030484561074, 'v_z': -0.4, 'yaw': 0.0}
{'pitch': 0.3731030484561074, 'roll': -0.3731030484561074, 'v_z': -0.4, 'yaw': 0.0}
{'pitch': 0.3731030484561074, 'roll': -0.3731030484561074, 'v_z': -0.4, 'yaw': 0.0}
{'pitch': 0.3731030484561074, 'roll': -0.3731030484561074, 'v_z': -0.4, 'yaw': 0.0}
{'pitch': 0.3731030484561074, 'roll': -0.3731030484561074, 'v_z': -0.4, 'yaw': 0.0}
{'pitch': 0.3731030484561074, 'roll': -0.3731030484561074, 'v_z': -0.4, 'yaw': 0.0}
{'pitch': 0.3731030484561074, 'roll': -0.3731030484561074, 'v_z': -0.4, 'yaw': 0.0}
{'pitch': 0.3731030484561074, 'roll': -0.3731030484561074, 'v_z': -0.4, 'yaw': 0.0}
{'pitch': 0.3731030484561074, 'roll': -0.3731030484561074, 'v_z': -0.4, 'yaw': 0.0}
{'pitch': 0.3731030484561074, 'roll': -0.24873542381504668, 'v_z': -0.4, 'yaw': 0.0}
{'pitch': 0.24873542381504668, 'roll': -0.12436779917398594, 'v_z': -0.4, 'yaw': 0.0}
{'pitch': 0.24873542381504668, 'roll': -0.12436779917398594, 'v_z': -0.4, 'yaw': 0.0}
{'pitch': 0.24873542381504668, 'roll': -0.12436779917398594, 'v_z': -0.4, 'yaw': 0.0}
{'pitch': 0.12436779917398594, 'roll': -0.12436779917398594, 'v_z': -0.4, 'yaw': 0.0}
{'pitch': 1.7453292519564734e-07, 'roll': -0.12436779917398594, 'v_z': -0.4, 'yaw': 0.0}
{'pitch': -0.12436745010813555, 'roll': -0.12436779917398594, 'v_z': -0.4, 'yaw': 0.0}
{'pitch': -0.2487350747491963, 'roll': -0.12436779917398594, 'v_z': -0.4, 'yaw': 0.0}
{'pitch': -0.37310269939025703, 'roll': -0.12436779917398594, 'v_z': -0.4, 'yaw': 0.0}
{'pitch': -0.3731030484561074, 'roll': -0.12436779917398594, 'v_z': -0.4, 'yaw': 0.0}
{'pitch': -0.3731030484561074, 'roll': -0.12436779917398594, 'v_z': -0.4, 'yaw': 0.0}
{'pitch': -0.3731030484561074, 'roll': -0.12436779917398594, 'v_z': -0.4, 'yaw': 0.0}
{'pitch': -0.24873542381504668, 'roll': -0.12436779917398594, 'v_z': -0.4, 'yaw': 0.0}
{'pitch': -0.12436762464106074, 'roll': -0.12436762464106074, 'v_z': -0.4, 'yaw': 0.0}
{'pitch': -0.24873524928212148, 'roll': -0.24873524928212148, 'v_z': -0.4, 'yaw': 0.0}
{'pitch': -0.3731028739231822, 'roll': -0.3731028739231822, 'v_z': -0.4, 'yaw': 0.0}
{'pitch': -0.3731030484561074, 'roll': -0.3731030484561074, 'v_z': -0.4, 'yaw': 0.0}
{'pitch': -0.3731030484561074, 'roll': -0.3731030484561074, 'v_z': -0.4, 'yaw': 0.0}
{'pitch': -0.3731030484561074, 'roll': -0.3731030484561074, 'v_z': -0.4, 'yaw': 0.0}
{'pitch': -0.3731030484561074, 'roll': -0.3731030484561074, 'v_z': -0.4, 'yaw': 0.0}
{'pitch': -0.24873542381504668, 'roll': -0.24873542381504668, 'v_z': -0.4, 'yaw': 0.0}
{'pitch': -0.12436779917398594, 'roll': -0.12436779917398594, 'v_z': -0.4, 'yaw': 0.0}
{'pitch': -1.7453292519564734e-07, 'roll': -1.7453292519564734e-07, 'v_z': -0.4, 'yaw': 0.0}
{'pitch': 0.12436745010813555, 'roll': -0.12436779917398594, 'v_z': -0.4, 'yaw': 0.0}
{'pitch': 0.12436745010813555, 'roll': -0.12436779917398594, 'v_z': -0.4, 'yaw': 0.0}
{'pitch': 0.2487350747491963, 'roll': -0.24873542381504668, 'v_z': -0.4, 'yaw': 0.0}
{'pitch': 0.37310269939025703, 'roll': -0.3731030484561074, 'v_z': -0.4, 'yaw': 0.0}
{'pitch': 0.3731030484561074, 'roll': -0.3731030484561074, 'v_z': -0.4, 'yaw': 0.0}
{'pitch': 0.3731030484561074, 'roll': -0.3731030484561074, 'v_z': -0.4, 'yaw': 0.0}
{'pitch': 0.3731030484561074, 'roll': -0.3731030484561074, 'v_z': -0.4, 'yaw': 0.0}
{'pitch': 0.3731030484561074, 'roll': -0.3731030484561074, 'v_z': -0.4, 'yaw': 0.0}
{'pitch': 0.3731030484561074, 'roll': -0.24873542381504668, 'v_z': -0.4, 'yaw': 0.0}
{'pitch': 0.3731030484561074, 'roll': -0.12436779917398594, 'v_z': -0.4, 'yaw': 0.0}
{'pitch': 0.3731030484561074, 'roll': -1.7453292519564734e-07, 'v_z': -0.4, 'yaw': 0.0}
{'pitch': 0.3731030484561074, 'roll': -1.7453292519564734e-07, 'v_z': -0.4, 'yaw': 0.0}
{'pitch': 0.3731030484561074, 'roll': -1.7453292519564734e-07, 'v_z': -0.4, 'yaw': 0.0}
{'pitch': 0.3731030484561074, 'roll': -0.12436779917398594, 'v_z': -0.4, 'yaw': 0.0}
{'pitch': 0.3731030484561074, 'roll': -0.24873542381504668, 'v_z': -0.4, 'yaw': 0.0}
{'pitch': 0.24873542381504668, 'roll': -0.3731030484561074, 'v_z': -0.4, 'yaw': 0.0}
{'pitch': 0.12436779917398594, 'roll': -0.3731030484561074, 'v_z': -0.4, 'yaw': 0.0}
{'pitch': 1.7453292519564734e-07, 'roll': -0.3731030484561074, 'v_z': -0.4, 'yaw': 0.0}
{'pitch': -0.12436745010813555, 'roll': -0.3731030484561074, 'v_z': -0.4, 'yaw': 0.0}
{'pitch': 1.7453292519564734e-07, 'roll': -0.3731030484561074, 'v_z': -0.4, 'yaw': 0.0}
{'pitch': -0.12436745010813555, 'roll': -0.3731030484561074, 'v_z': -0.4, 'yaw': 0.0}
{'pitch': -0.2487350747491963, 'roll': -0.24873542381504668, 'v_z': -0.4, 'yaw': 0.0}
{'pitch': -0.2487350747491963, 'roll': -0.12436779917398594, 'v_z': -0.4, 'yaw': 0.0}
{'pitch': -0.37310269939025703, 'roll': -1.7453292519564734e-07, 'v_z': -0.4, 'yaw': 0.0}
{'pitch': -0.3731030484561074, 'roll': 0.12436745010813555, 'v_z': -0.4, 'yaw': 0.0}
{'pitch': -0.3731030484561074, 'roll': 0.12436745010813555, 'v_z': -0.4, 'yaw': 0.0}
{'pitch': -0.3731030484561074, 'roll': -1.7453292519564734e-07, 'v_z': -0.4, 'yaw': 0.0}
{'pitch': -0.3731030484561074, 'roll': -1.7453292519564734e-07, 'v_z': -0.4, 'yaw': 0.0}
{'pitch': -0.24873542381504668, 'roll': -0.12436779917398594, 'v_z': -0.4, 'yaw': 0.0}
{'pitch': -0.12436779917398594, 'roll': -0.24873542381504668, 'v_z': -0.4, 'yaw': 0.0}
{'pitch': 0.12436762464106074, 'roll': -0.12436762464106074, 'v_z': -0.4, 'yaw': 0.0}
{'pitch': 0.24873524928212148, 'roll': -0.24873524928212148, 'v_z': -0.4, 'yaw': 0.0}
{'pitch': 0.3731028739231822, 'roll': -0.3731028739231822, 'v_z': -0.4, 'yaw': 0.0}
{'pitch': 0.3731030484561074, 'roll': -0.3731030484561074, 'v_z': -0.4, 'yaw': 0.0}
{'pitch': 0.3731030484561074, 'roll': -0.3731030484561074, 'v_z': -0.4, 'yaw': 0.0}
{'pitch': 0.3731030484561074, 'roll': -0.24873542381504668, 'v_z': -0.4, 'yaw': 0.0}
{'pitch': 0.3731030484561074, 'roll': -0.12436779917398594, 'v_z': -0.4, 'yaw': 0.0}
{'pitch': 0.24873542381504668, 'roll': -0.12436779917398594, 'v_z': -0.4, 'yaw': 0.0}
{'pitch': 0.12436779917398594, 'roll': -1.7453292519564734e-07, 'v_z': -0.4, 'yaw': 0.0}
{'pitch': 1.7453292519564734e-07, 'roll': -1.7453292519564734e-07, 'v_z': -0.4, 'yaw': 0.0}
{'pitch': -0.12436745010813555, 'roll': -1.7453292519564734e-07, 'v_z': -0.4, 'yaw': 0.0}
{'pitch': 1.7453292519564734e-07, 'roll': 0.12436745010813555, 'v_z': -0.4, 'yaw': 0.0}
{'pitch': 0.12436779917398594, 'roll': -1.7453292519564734e-07, 'v_z': -0.4, 'yaw': 0.0}
{'pitch': 0.24873542381504668, 'roll': -1.7453292519564734e-07, 'v_z': -0.4, 'yaw': 0.0}
{'pitch': 0.3731030484561074, 'roll': 0.12436745010813555, 'v_z': -0.4, 'yaw': 0.0}
{'pitch': 0.3731030484561074, 'roll': -1.7453292519564734e-07, 'v_z': -0.4, 'yaw': 0.0}
{'pitch': 0.3731030484561074, 'roll': -0.12436779917398594, 'v_z': -0.4, 'yaw': 0.0}
{'pitch': 0.3731030484561074, 'roll': -0.12436779917398594, 'v_z': -0.4, 'yaw': 0.0}
{'pitch': 0.3731030484561074, 'roll': -0.12436779917398594, 'v_z': -0.4, 'yaw': 0.0}
{'pitch': 0.24873542381504668, 'roll': -0.12436779917398594, 'v_z': -0.4, 'yaw': 0.0}
{'pitch': 0.12436779917398594, 'roll': -0.12436779917398594, 'v_z': -0.4, 'yaw': 0.0}
{'pitch': 1.7453292519564734e-07, 'roll': -0.24873542381504668, 'v_z': -0.4, 'yaw': 0.0}
{'pitch': -0.12436745010813555, 'roll': -0.3731030484561074, 'v_z': -0.4, 'yaw': 0.0}
{'pitch': 1.7453292519564734e-07, 'roll': -0.3731030484561074, 'v_z': -0.4, 'yaw': 0.0}
{'pitch': 0.12436779917398594, 'roll': -0.3731030484561074, 'v_z': -0.4, 'yaw': 0.0}
{'pitch': 0.24873542381504668, 'roll': -0.3731030484561074, 'v_z': -0.4, 'yaw': 0.0}
{'pitch': 0.3731030484561074, 'roll': -0.24873542381504668, 'v_z': -0.4, 'yaw': 0.0}
{'pitch': 0.3731030484561074, 'roll': -0.12436779917398594, 'v_z': -0.4, 'yaw': 0.0}
{'pitch': 0.3731030484561074, 'roll': -1.7453292519564734e-07, 'v_z': -0.4, 'yaw': 0.0}
{'pitch': 0.3731030484561074, 'roll': -1.7453292519564734e-07, 'v_z': -0.4, 'yaw': 0.0}
{'pitch': 0.24873542381504668, 'roll': -1.7453292519564734e-07, 'v_z': -0.4, 'yaw': 0.0}
{'pitch': 0.12436779917398594, 'roll': -0.12436779917398594, 'v_z': -0.4, 'yaw': 0.0}
{'pitch': 1.7453292519564734e-07, 'roll': -0.24873542381504668, 'v_z': -0.4, 'yaw': 0.0}
{'pitch': -0.12436745010813555, 'roll': -0.3731030484561074, 'v_z': -0.4, 'yaw': 0.0}
{'pitch': -0.2487350747491963, 'roll': -0.3731030484561074, 'v_z': -0.4, 'yaw': 0.0}
{'pitch': -0.37310269939025703, 'roll': -0.3731030484561074, 'v_z': -0.4, 'yaw': 0.0}
{'pitch': -0.3731030484561074, 'roll': -0.3731030484561074, 'v_z': -0.4, 'yaw': 0.0}
{'pitch': -0.3731030484561074, 'roll': -0.3731030484561074, 'v_z': -0.4, 'yaw': 0.0}
{'pitch': -0.3731030484561074, 'roll': -0.3731030484561074, 'v_z': -0.4, 'yaw': 0.0}
{'pitch': -0.3731030484561074, 'roll': -0.3731030484561074, 'v_z': -0.4, 'yaw': 0.0}
{'pitch': -0.24873542381504668, 'roll': -0.3731030484561074, 'v_z': -0.4, 'yaw': 0.0}
{'pitch': -0.12436779917398594, 'roll': -0.3731030484561074, 'v_z': -0.4, 'yaw': 0.0}
{'pitch': -1.7453292519564734e-07, 'roll': -0.24873542381504668, 'v_z': -0.4, 'yaw': 0.0}
{'pitch': 0.12436745010813555, 'roll': -0.24873542381504668, 'v_z': -0.4, 'yaw': 0.0}
{'pitch': 0.12436745010813555, 'roll': -0.24873542381504668, 'v_z': -0.4, 'yaw': 0.0}
{'pitch': 0.12436745010813555, 'roll': -0.24873542381504668, 'v_z': -0.4, 'yaw': 0.0}
{'pitch': -1.7453292519564734e-07, 'roll': -0.24873542381504668, 'v_z': -0.4, 'yaw': 0.0}
{'pitch': -0.12436779917398594, 'roll': -0.24873542381504668, 'v_z': -0.4, 'yaw': 0.0}
{'pitch': -0.24873542381504668, 'roll': -0.24873542381504668, 'v_z': -0.4, 'yaw': 0.0}
{'pitch': -0.3731030484561074, 'roll': -0.24873542381504668, 'v_z': -0.4, 'yaw': 0.0}
{'pitch': -0.3731030484561074, 'roll': -0.24873542381504668, 'v_z': -0.4, 'yaw': 0.0}
{'pitch': -0.3731030484561074, 'roll': -0.24873542381504668, 'v_z': -0.4, 'yaw': 0.0}
{'pitch': -0.3731030484561074, 'roll': -0.24873542381504668, 'v_z': -0.4, 'yaw': 0.0}
{'pitch': -0.3731030484561074, 'roll': -0.24873542381504668, 'v_z': -0.4, 'yaw': 0.0}
{'pitch': -0.3731030484561074, 'roll': -0.24873542381504668, 'v_z': -0.4, 'yaw': 0.0}
{'pitch': -0.24873542381504668, 'roll': -0.24873542381504668, 'v_z': -0.4, 'yaw': 0.0}
{'pitch': -0.12436779917398594, 'roll': -0.24873542381504668, 'v_z': -0.4, 'yaw': 0.0}
{'pitch': -1.7453292519564734e-07, 'roll': -0.24873542381504668, 'v_z': -0.4, 'yaw': 0.0}
{'pitch': 0.12436745010813555, 'roll': -0.24873542381504668, 'v_z': -0.4, 'yaw': 0.0}
{'pitch': -1.7453292519564734e-07, 'roll': -0.24873542381504668, 'v_z': -0.4, 'yaw': 0.0}
{'pitch': 0.0, 'roll': 0.12436762464106074, 'v_z': -0.4, 'yaw': 0.0}
{'pitch': 0.0, 'roll': 0.24873524928212148, 'v_z': -0.4, 'yaw': 0.0}
{'pitch': 0.0, 'roll': 0.3731028739231822, 'v_z': -0.4, 'yaw': 0.0}
{'pitch': -0.12436762464106074, 'roll': 0.3731030484561074, 'v_z': -0.4, 'yaw': 0.0}
{'pitch': -0.12436762464106074, 'roll': 0.3731030484561074, 'v_z': -0.4, 'yaw': 0.0}
{'pitch': -0.12436762464106074, 'roll': 0.3731030484561074, 'v_z': -0.4, 'yaw': 0.0}
{'pitch': -0.24873524928212148, 'roll': 0.3731030484561074, 'v_z': -0.4, 'yaw': 0.0}
{'pitch': -0.3731028739231822, 'roll': 0.24873542381504668, 'v_z': -0.4, 'yaw': 0.0}
{'pitch': -0.3731030484561074, 'roll': 0.12436779917398594, 'v_z': -0.4, 'yaw': 0.0}
{'pitch': -0.3731030484561074, 'roll': 1.7453292519564734e-07, 'v_z': -0.4, 'yaw': 0.0}
{'pitch': -0.3731030484561074, 'roll': -0.12436745010813555, 'v_z': -0.4, 'yaw': 0.0}
{'pitch': -0.3731030484561074, 'roll': 1.7453292519564734e-07, 'v_z': -0.4, 'yaw': 0.0}
{'pitch': -0.24873542381504668, 'roll': 0.12436779917398594, 'v_z': -0.4, 'yaw': 0.0}
{'pitch': -0.12436779917398594, 'roll': 0.24873542381504668, 'v_z': -0.4, 'yaw': 0.0}
{'pitch': -1.7453292519564734e-07, 'roll': 0.3731030484561074, 'v_z': -0.4, 'yaw': 0.0}
{'pitch': 0.12436745010813555, 'roll': 0.3731030484561074, 'v_z': -0.4, 'yaw': 0.0}
{'pitch': 0.2487350747491963, 'roll': 0.3731030484561074, 'v_z': -0.4, 'yaw': 0.0}
{'pitch': 0.12436745010813555, 'roll': 0.3731030484561074, 'v_z': -0.4, 'yaw': 0.0}
{'pitch': -1.7453292519564734e-07, 'roll': 0.3731030484561074, 'v_z': -0.4, 'yaw': 0.0}
{'pitch': -0.12436779917398594, 'roll': 0.3731030484561074, 'v_z': -0.4, 'yaw': 0.0}
{'pitch': -0.24873542381504668, 'roll': 0.24873542381504668, 'v_z': -0.4, 'yaw': 0.0}
{'pitch': -0.3731030484561074, 'roll': 0.12436779917398594, 'v_z': -0.4, 'yaw': 0.0}
{'pitch': -0.3731030484561074, 'roll': 1.7453292519564734e-07, 'v_z': -0.4, 'yaw': 0.0}
{'pitch': -0.3731030484561074, 'roll': -0.12436745010813555, 'v_z': -0.4, 'yaw': 0.0}
{'pitch': -0.3731030484561074, 'roll': 1.7453292519564734e-07, 'v_z': -0.4, 'yaw': 0.0}
{'pitch': -0.24873542381504668, 'roll': 0.12436779917398594, 'v_z': -0.4, 'yaw': 0.0}
{'pitch': -0.12436779917398594, 'roll': 0.24873542381504668, 'v_z': -0.4, 'yaw': 0.0}
{'pitch': -0.24873542381504668, 'roll': 0.3731030484561074, 'v_z': -0.4, 'yaw': 0.0}
{'pitch': -0.12436779917398594, 'roll': 0.3731030484561074, 'v_z': -0.4, 'yaw': 0.0}
{'pitch': -0.12436779917398594, 'roll': 0.3731030484561074, 'v_z': -0.4, 'yaw': 0.0}
{'pitch': -0.12436779917398594, 'roll': 0.3731030484561074, 'v_z': -0.4, 'yaw': 0.0}
{'pitch': -0.12436779917398594, 'roll': 0.3731030484561074, 'v_z': -0.4, 'yaw': 0.0}
{'pitch': -0.24873542381504668, 'roll': 0.3731030484561074, 'v_z': -0.4, 'yaw': 0.0}
{'pitch': -0.3731030484561074, 'roll': 0.3731030484561074, 'v_z': -0.4, 'yaw': 0.0}
{'pitch': -0.3731030484561074, 'roll': 0.3731030484561074, 'v_z': -0.4, 'yaw': 0.0}
{'pitch': -0.3731030484561074, 'roll': 0.3731030484561074, 'v_z': -0.4, 'yaw': 0.0}
{'pitch': -0.24873542381504668, 'roll': 0.3731030484561074, 'v_z': -0.4, 'yaw': 0.0}
{'pitch': -0.24873542381504668, 'roll': 0.3731030484561074, 'v_z': -0.4, 'yaw': 0.0}
{'pitch': -0.24873542381504668, 'roll': 0.3731030484561074, 'v_z': -0.4, 'yaw': 0.0}
{'pitch': -0.12436779917398594, 'roll': 0.3731030484561074, 'v_z': -0.4, 'yaw': 0.0}
{'pitch': -0.12436779917398594, 'roll': 0.3731030484561074, 'v_z': -0.4, 'yaw': 0.0}
{'pitch': -0.12436779917398594, 'roll': 0.3731030484561074, 'v_z': -0.4, 'yaw': 0.0}
{'pitch': -0.12436779917398594, 'roll': 0.3731030484561074, 'v_z': -0.4, 'yaw': 0.0}
{'pitch': -0.12436779917398594, 'roll': 0.3731030484561074, 'v_z': -0.4, 'yaw': 0.0}
{'pitch': 0.12436762464106074, 'roll': -0.12436762464106074, 'v_z': -0.4, 'yaw': 0.0}
{'pitch': 0.24873524928212148, 'roll': -0.24873524928212148, 'v_z': -0.4, 'yaw': 0.0}
{'pitch': 0.3731028739231822, 'roll': -0.3731028739231822, 'v_z': -0.4, 'yaw': 0.0}
{'pitch': 0.3731030484561074, 'roll': -0.3731030484561074, 'v_z': -0.4, 'yaw': 0.0}
{'pitch': 0.3731030484561074, 'roll': -0.3731030484561074, 'v_z': -0.4, 'yaw': 0.0}
{'pitch': 0.3731030484561074, 'roll': -0.24873542381504668, 'v_z': -0.4, 'yaw': 0.0}
{'pitch': 0.3731030484561074, 'roll': -0.24873542381504668, 'v_z': -0.4, 'yaw': 0.0}
{'pitch': 0.24873542381504668, 'roll': -0.12436779917398594, 'v_z': -0.4, 'yaw': 0.0}
{'pitch': 0.12436779917398594, 'roll': -1.7453292519564734e-07, 'v_z': -0.4, 'yaw': 0.0}
{'pitch': 1.7453292519564734e-07, 'roll': -1.7453292519564734e-07, 'v_z': -0.4, 'yaw': 0.0}
{'pitch': -0.12436745010813555, 'roll': -0.12436779917398594, 'v_z': -0.4, 'yaw': 0.0}
{'pitch': 1.7453292519564734e-07, 'roll': -0.24873542381504668, 'v_z': -0.4, 'yaw': 0.0}
{'pitch': 0.12436779917398594, 'roll': -0.3731030484561074, 'v_z': -0.4, 'yaw': 0.0}
{'pitch': 0.24873542381504668, 'roll': -0.3731030484561074, 'v_z': -0.4, 'yaw': 0.0}
{'pitch': 0.3731030484561074, 'roll': -0.3731030484561074, 'v_z': -0.4, 'yaw': 0.0}
{'pitch': 0.3731030484561074, 'roll': -0.3731030484561074, 'v_z': -0.4, 'yaw': 0.0}
{'pitch': 0.3731030484561074, 'roll': -0.3731030484561074, 'v_z': -0.4, 'yaw': 0.0}
{'pitch': 0.3731030484561074, 'roll': -0.24873542381504668, 'v_z': -0.4, 'yaw': 0.0}
{'pitch': 0.24873542381504668, 'roll': -0.12436779917398594, 'v_z': -0.4, 'yaw': 0.0}
{'pitch': 0.12436779917398594, 'roll': -0.12436779917398594, 'v_z': -0.4, 'yaw': 0.0}
{'pitch': 1.7453292519564734e-07, 'roll': -0.12436779917398594, 'v_z': -0.4, 'yaw': 0.0}
